Company_ID,Governorate,Industry,BI_Implementation_Year,Pre_BI_Decision_Making_Agility_Score,Post_BI_Decision_Making_Agility_Score,Pre_BI_Operational_Efficiency_Index,Post_BI_Operational_Efficiency_Index,Pre_BI_Data_Driven_Decisions_Percentage,Post_BI_Data_Driven_Decisions_Percentage,Revenue_Growth_After_BI_Percentage,Cost_Reduction_After_BI_Percentage,Customer_Satisfaction_Increase_After_BI_Percentage,Market_Share_Increase_After_BI_Percentage,Reference,Decision_Making_Agility_Improvement,Operational_Efficiency_Improvement,Data_Driven_Decisions_Improvement,Data_Source,Has_Negative_Agility_Improvement,Has_Negative_Efficiency_Improvement,Is_Recent_Implementation,Data_Quality_Flag,Reference_Standardized,Data_Last_Verified,Data_Version
1,Idlib,Telecommunications,2022,3.2,7.6,67.8,79.6,26.3,93.1,9.8,9.9,6.2,4.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 0),4.4,11.799999999999995,66.8,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
2,As-Suwayda,Healthcare,2017,2.6,5.9,58.9,79.0,42.6,78.4,12.3,5.9,12.7,3.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 1),3.3000000000000003,20.1,35.800000000000004,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
3,Daraa,Finance,2021,4.5,5.9,64.4,76.6,55.0,93.5,8.2,3.8,18.5,7.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 2),1.4000000000000004,12.199999999999989,38.5,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
4,Aleppo,Telecommunications,2022,3.2,8.1,55.1,87.6,41.7,91.6,21.7,8.7,16.7,1.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 3),4.9,32.49999999999999,49.89999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
5,Idlib,Services,2020,4.0,7.9,76.7,81.0,39.2,76.4,12.2,8.4,8.4,3.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 4),3.9,4.299999999999997,37.2,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
6,As-Suwayda,Finance,2020,5.5,6.4,57.1,91.6,34.4,73.7,11.1,17.9,19.6,7.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 5),0.9000000000000004,34.49999999999999,39.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
7,Rif Dimashq,Finance,2020,5.4,9.6,69.9,76.0,28.6,94.3,9.0,9.7,15.0,5.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 6),4.199999999999999,6.099999999999994,65.69999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
8,Latakia,Telecommunications,2020,3.7,8.9,79.7,92.8,46.9,97.0,9.4,8.0,5.2,2.2,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 7),5.2,13.099999999999994,50.1,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
9,Latakia,Manufacturing,2020,4.7,6.0,68.4,87.5,30.8,70.9,20.4,11.7,8.8,8.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 8),1.2999999999999998,19.099999999999994,40.10000000000001,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
10,Homs,Services,2022,4.5,9.5,78.1,73.3,28.5,90.5,22.8,4.3,8.9,4.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 9),5.0,-4.799999999999997,62.0,Research,False,True,False,Unusual,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
